Column1,Column2,Column3,Column4,Column5
Generated on: 2025-06-18,,,,
Course Code,Faculty Initial,Section,Seats,Time
ACT101,MRDI,1,15/15,MW 10:10 AM - 11:40 AM
ACT101,NHN,2,15/15,T 01:30 PM - 03:00 PM
ACT101,NHN,2,15/15,R 01:30 PM - 03:00 PM
ACT101,NHN,3,15/15,T 11:50 AM - 01:20 PM
ACT101,NHN,3,15/15,S 11:50 AM - 01:20 PM
ACT101,THD,4,20/20,SR 08:30 AM - 10:00 AM
ACT101,THD,5,15/15,S 11:50 AM - 01:20 PM
ACT101,THD,5,15/15,T 11:50 AM - 01:20 PM
ACT101,THD,6,20/22,MW 08:30 AM - 10:00 AM
ACT101,MSQI,7,13/30,MW 08:30 AM - 10:00 AM
ACT101,MSQI,8,13/22,ST 11:50 AM - 01:20 PM
ACT101,MHRN,9,15/30,MW 01:30 PM - 03:00 PM
ACT101,MHRN,10,16/30,SR 01:30 PM - 03:00 PM
ACT101,MHRN,11,10/30,TR 04:50 PM - 06:20 PM
ACT101,TOMA,12,16/16,MW 11:50 AM - 01:20 PM
ACT101,FARIN,13,30/30,MW 10:10 AM - 11:40 AM
ACT101,FARIN,14,30/30,SR 01:30 PM - 03:00 PM
ACT101,TOMA,15,26/30,MW 03:10 PM - 04:40 PM
ACT201,MRDI,1,44/44,ST 10:10 AM - 11:40 AM
ACT201,ZMD,2,46/46,MW 01:30 PM - 03:00 PM
ACT201,NHN,3,44/44,MW 01:30 PM - 03:00 PM
ACT201,NHN,4,43/44,MW 11:50 AM - 01:20 PM
ACT201,THD,5,45/45,MW 11:50 AM - 01:20 PM
ACT201,MSQI,6,43/44,SR 08:30 AM - 10:00 AM
ACT201,TOMA,7,43/44,SR 04:50 PM - 06:20 PM
ACT201,TOMA,8,44/44,TR 03:10 PM - 04:40 PM
ACT201,TBA,9,0/0,MW 03:10 PM - 04:40 PM
ACT311,TBA,1,36/38,MW 03:10 PM - 04:40 PM
ACT311,TBA,2,36/38,MW 04:50 PM - 06:20 PM
ACT411,DACY,1,50/50,ST 01:30 PM - 03:00 PM
ACT411,MSQI,2,37/40,MW 11:50 AM - 01:20 PM
ACT421,ZMD,1,40/41,ST 01:30 PM - 03:00 PM
ACT421,ZMD,2,39/40,ST 03:10 PM - 04:40 PM
ACT425,MHRN,1,38/41,MW 10:10 AM - 11:40 AM
ACT441,NCS,1,40/40,MW 10:10 AM - 11:40 AM
ACT441,NCS,2,38/40,MW 11:50 AM - 01:20 PM
ACT442,DACY,1,53/53,ST 11:50 AM - 01:20 PM
ACT445,DACY,1,53/53,MW 01:30 PM - 03:00 PM
ACT478,NCS,1,35/40,ST 10:10 AM - 11:40 AM
ACT526,DMFH,1,11/30,S 06:30 PM - 09:30 PM
ACT528,DMMZN,1,6/30,F 09:00 AM - 12:00 PM
ACT7101,MRDI,1,25/25,MW 10:10 AM - 11:40 AM
ACT7101,NHN,2,25/25,R 01:30 PM - 03:00 PM
ACT7101,NHN,2,25/25,T 01:30 PM - 03:00 PM
ACT7101,NHN,3,25/25,S 11:50 AM - 01:20 PM
ACT7101,NHN,3,25/25,T 11:50 AM - 01:20 PM
ACT7101,THD,4,21/21,SR 08:30 AM - 10:00 AM
ACT7101,THD,5,25/25,S 11:50 AM - 01:20 PM
ACT7101,THD,5,25/25,T 11:50 AM - 01:20 PM
ACT7101,THD,6,18/18,MW 08:30 AM - 10:00 AM
ACT7101,MSQI,7,10/10,MW 08:30 AM - 10:00 AM
ACT7101,MSQI,8,18/18,ST 11:50 AM - 01:20 PM
ACT7101,MHRN,9,10/10,MW 01:30 PM - 03:00 PM
ACT7101,MHRN,10,2/10,SR 01:30 PM - 03:00 PM
ACT7101,MHRN,11,0/10,TR 04:50 PM - 06:20 PM
ACT7101,TOMA,12,25/25,MW 11:50 AM - 01:20 PM
ACT7101,FARIN,13,10/10,MW 10:10 AM - 11:40 AM
ACT7101,FARIN,14,5/10,SR 01:30 PM - 03:00 PM
ACT7101,TOMA,15,0/10,MW 03:10 PM - 04:40 PM
BUS101,TBA,1,45/45,ST 01:30 PM - 03:00 PM
BUS101,MSIF,2,45/45,ST 03:10 PM - 04:40 PM
BUS101,MMHN,3,45/45,ST 03:10 PM - 04:40 PM
BUS101,EKRAM,5,45/45,TR 01:30 PM - 03:00 PM
BUS101,EKRAM,6,45/45,TR 03:10 PM - 04:40 PM
BUS101,MHMI,7,44/45,ST 08:30 AM - 10:00 AM
BUS101,MHMI,8,45/45,ST 10:10 AM - 11:40 AM
BUS101,TBA,10,0/0,S 04:50 PM - 06:20 PM
BUS101,TBA,10,0/0,T 04:50 PM - 06:20 PM
BUS231,KH,1,41/41,TR 01:30 PM - 03:00 PM
BUS231,KB,2,43/43,MW 11:50 AM - 01:20 PM
BUS231,KB,3,42/42,MW 03:10 PM - 04:40 PM
BUS231,MMHN,4,44/44,ST 04:50 PM - 06:20 PM
BUS231,ASIFSAMI,5,45/45,MW 08:30 AM - 10:00 AM
BUS231,ASIFSAMI,6,45/45,MW 11:50 AM - 01:20 PM
BUS231,SDRN,7,44/44,ST 08:30 AM - 10:00 AM
BUS231,SDRN,8,44/44,S 10:10 AM - 11:40 AM
BUS231,SDRN,8,44/44,R 10:10 AM - 11:40 AM
BUS231,SDRN,9,44/44,MW 01:30 PM - 03:00 PM
BUS361,MHSL,1,41/41,MW 01:30 PM - 03:00 PM
BUS361,MHSL,2,41/41,ST 10:10 AM - 11:40 AM
BUS361,MN,3,39/40,MW 11:50 AM - 01:20 PM
BUS361,MN,4,40/40,S 01:30 PM - 03:00 PM
BUS361,MN,4,40/40,R 01:30 PM - 03:00 PM
BUS361,TANBIR,5,38/40,ST 08:30 AM - 10:00 AM
BUS361,TANBIR,6,40/40,MW 08:30 AM - 10:00 AM
BUS361,NAA,7,38/40,T 01:30 PM - 03:00 PM
BUS361,NAA,7,38/40,R 01:30 PM - 03:00 PM
BUS361,TBA,8,0/0,MW 10:10 AM - 11:40 AM
BUS498,TBA,1,107/200,A 08:30 AM - 10:00 AM
BUS499,TBA,1,51/200,A 08:30 AM - 10:00 AM
CE_451,DMTS,1,6/25,ST 01:30 PM - 03:00 PM
CE_451,DMTS,1,6/25,W 02:00 PM - 05:00 PM
CE_461,SADIK,1,12/25,SR 03:10 PM - 04:40 PM
CE100,DMKT,1,0/0,S 11:50 AM - 01:50 PM
CE100,MRMK,2,0/5,T 01:30 PM - 03:30 PM
CE100,KASB,3,0/0,M 10:10 AM - 12:10 PM
CE101,DMNH,1,0/0,MW 03:10 PM - 04:40 PM
CE101,TAJWAR,2,2/5,MW 03:10 PM - 04:40 PM
CE101,TAJWAR,3,0/5,M 04:50 PM - 06:20 PM
CE101,TAJWAR,3,0/5,W 04:50 PM - 06:20 PM
CE102,SDR,1,3/4,T 01:30 PM - 03:30 PM
CE102,TAJWAR,2,3/5,S 10:10 AM - 12:10 PM
CE102,SDR,3,2/5,R 04:50 PM - 06:50 PM
CE103,MRMK,1,3/5,MW 11:50 AM - 01:20 PM
CE103,MRMK,1,3/5,S 03:10 PM - 05:10 PM
CE103,SDR,2,3/5,S 11:50 AM - 01:50 PM
CE103,SDR,2,3/5,ST 10:10 AM - 11:40 AM
CE200,SADIK,1,16/30,M 08:00 AM - 11:00 AM
CE201,DMTS,1,15/21,TR 11:50 AM - 01:20 PM
CE201,DMTS,1,15/21,M 03:10 PM - 06:10 PM
CE201,MRMK,2,17/25,T 03:31 PM - 06:30 PM
CE201,MRMK,2,17/25,ST 11:50 AM - 01:20 PM
CE203,MRMK,1,33/33,MW 01:30 PM - 03:00 PM
CE203,SADIK,2,32/33,ST 01:30 PM - 03:00 PM
CE208,SAIFUL,1,26/27,W 08:00 AM - 11:00 AM
CE211,DMNH,1,19/19,ST 10:10 AM - 11:40 AM
CE211,DMNH,1,19/19,M 10:10 AM - 01:10 PM
CE211,TBA,2,0/0,T 03:10 PM - 06:10 PM
CE211,TBA,2,0/0,SR 11:50 AM - 01:20 PM
CE213,ALHAZ,1,42/42,MW 10:10 AM - 11:40 AM
CE213,TBA2,2,0/0,ST 04:50 PM - 06:20 PM
CE261,KASB,1,28/29,SR 01:30 PM - 03:00 PM
CE261,KASB,1,28/29,T 08:00 AM - 11:00 AM
CE261,TAJWAR,2,16/30,R 04:50 PM - 07:50 PM
CE261,TAJWAR,2,16/30,TR 03:10 PM - 04:40 PM
CE301,ALHAZ,1,31/31,TR 08:30 AM - 10:00 AM
CE301,ALHAZ,1,31/31,S 10:10 AM - 01:10 PM
CE311,DMKT,1,13/35,MW 10:10 AM - 11:40 AM
CE315,SAIFUL,1,25/30,MW 11:50 AM - 01:20 PM
CE315,SAIFUL,1,25/30,S 01:30 PM - 04:30 PM
CE315,SDR,2,22/25,MW 11:50 AM - 01:20 PM
CE315,SDR,2,22/25,M 04:50 PM - 07:50 PM
CE319,TBA,1,1/1,M 04:50 PM - 07:50 PM
CE319,TBA3,1,1/1,MW 10:10 AM - 11:40 AM
CE331,SADIK,1,10/30,MW 11:50 AM - 01:20 PM
CE331,SADIK,1,10/30,W 08:00 AM - 11:00 AM
CE333,TBA,1,0/0,MW 11:50 AM - 01:20 PM
CE341,DMKT,1,23/30,TR 11:50 AM - 01:20 PM
CE341,DMKT,1,23/30,R 01:30 PM - 04:30 PM
CE351,DMTS,1,8/25,ST 10:10 AM - 11:40 AM
CE361,KASB,1,14/25,M 01:30 PM - 04:30 PM
CE361,KASB,1,14/25,SR 11:50 AM - 01:20 PM
CE400,TBA,1,4/40,A 10:00 AM - 03:00 PM
CE401,TBA,1,30/35,TR 10:10 AM - 11:40 AM
CE408,SAIFUL,1,0/5,W 08:00 AM - 11:00 AM
CE410,TBA1,1,5/5,R 04:50 PM - 07:50 PM
CE411,ALHAZ,1,13/35,TR 11:50 AM - 01:20 PM
CE412,DMNH,1,8/30,W 08:00 AM - 11:00 AM
CE415,SAIFUL,1,11/35,M 09:00 AM - 11:00 AM
CE417,SAIFUL,1,12/35,T 08:00 AM - 10:00 AM
CE431,TBA,1,1/1,MW 11:50 AM - 01:20 PM
CE441,DMKT,1,8/35,ST 04:50 PM - 06:20 PM
CE451,DMTS,1,0/5,ST 10:10 AM - 11:40 AM
CE453,DMTS,1,4/5,ST 01:30 PM - 03:00 PM
CE453,DMTS,1,4/5,W 02:00 PM - 05:00 PM
CE461,KASB,1,1/5,M 01:30 PM - 04:30 PM
