Course,Section,Faculty,Capacity,Timing
CSE101,1,MAR,0/30,M 10:10 AM - 11:40 AM
CSE101,1,MAR,0/30,W 10:10 AM - 11:40 AM
CSE101,2,AT,0/30,T 08:30 AM - 10:00 AM
CSE101,2,AT,0/30,S 08:30 AM - 10:00 AM
CSE101,3,AT,7/30,S 10:10 AM - 11:40 AM
CSE101,3,AT,7/30,T 10:10 AM - 11:40 AM
CSE101,4,MSHQ,0/30,R 08:30 AM - 10:00 AM
CSE101,4,MSHQ,0/30,T 08:30 AM - 10:00 AM
CSE101,5,MSHQ,4/30,T 10:10 AM - 11:40 AM
CSE101,5,MSHQ,4/30,R 10:10 AM - 11:40 AM
CSE101,6,DMZM,1/30,T 03:10 PM - 04:40 PM
CSE101,6,DMZM,1/30,S 03:10 PM - 04:40 PM
CSE101,7,DMZM,2/30,S 04:50 PM - 06:20 PM
CSE101,7,DMZM,2/30,T 04:50 PM - 06:20 PM
CSE101,8,AQUIB,1/30,T 03:10 PM - 04:40 PM
CSE101,8,AQUIB,1/30,S 03:10 PM - 04:40 PM
CSE101,9,AQUIB,1/30,S 04:50 PM - 06:20 PM
CSE101,9,AQUIB,1/30,T 04:50 PM - 06:20 PM
CSE101,10,TZE,3/30,T 03:10 PM - 04:40 PM
CSE101,10,TZE,3/30,S 03:10 PM - 04:40 PM
CSE101,11,TZE,0/30,S 04:50 PM - 06:20 PM
CSE101,11,TZE,0/30,T 04:50 PM - 06:20 PM
CSE101,12,DNMH,0/30,W 08:30 AM - 10:00 AM
CSE101,12,DNMH,0/30,M 08:30 AM - 10:00 AM
CSE101,13,DNMH,1/30,M 10:10 AM - 11:40 AM
CSE101,13,DNMH,1/30,W 10:10 AM - 11:40 AM
CSE101,14,ANTU,0/30,T 03:10 PM - 04:40 PM
CSE101,14,ANTU,0/30,S 03:10 PM - 04:40 PM
CSE101,15,DMEI,1/30,M 08:30 AM - 10:00 AM
CSE101,15,DMEI,1/30,W 08:30 AM - 10:00 AM
CSE101,16,PROMA,0/30,W 01:30 PM - 03:00 PM
CSE101,16,PROMA,0/30,M 01:30 PM - 03:00 PM
CSE101,17,AADNAN,0/30,W 03:10 PM - 04:40 PM
CSE101,17,AADNAN,0/30,M 03:10 PM - 04:40 PM
CSE101,18,DMEI,0/30,W 10:10 AM - 11:40 AM
CSE101,18,DMEI,0/30,M 10:10 AM - 11:40 AM
CSE101,19,TBA,0/30,S 08:30 AM - 10:00 AM
CSE101,19,TBA,0/30,T 08:30 AM - 10:00 AM
CSE101,20,TBA,0/0,R 10:10 AM - 11:40 AM
CSE101,20,TBA,0/0,S 10:10 AM - 11:40 AM
CSE101,21,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,21,TBA,0/0,T 08:30 AM - 10:00 AM
CSE101,22,TBA,0/0,R 10:10 AM - 11:40 AM
CSE101,22,TBA,0/0,S 10:10 AM - 11:40 AM
CSE101,23,TBA,0/0,R 08:30 AM - 10:00 AM
CSE101,23,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,24,TBA,0/0,W 08:30 AM - 10:00 AM
CSE101,24,TBA,0/0,M 08:30 AM - 10:00 AM
CSE101,25,TBA,0/0,S 04:50 PM - 06:20 PM
CSE101,25,TBA,0/0,R 04:50 PM - 06:20 PM
CSE101,26,TBA,0/0,R 04:50 PM - 06:20 PM
CSE101,26,TBA,0/0,T 04:50 PM - 06:20 PM
CSE102,1,KMSK,9/30,M 04:50 PM - 06:20 PM
CSE102,1,KMSK,9/30,W 04:50 PM - 06:20 PM
CSE103,1,TJ,0/0,MW 10:10 AM - 11:40 AM
CSE103,1,TJ,0/0,T 10:10 AM - 01:10 PM
CSE103,1,TJ,0/0,R 01:30 PM - 04:30 PM
CSE103,2,TJ,0/0,R 10:10 AM - 01:10 PM
CSE103,2,TJ,0/0,MW 11:50 AM - 01:20 PM
CSE103,2,TJ,0/0,T 01:30 PM - 04:30 PM
CSE103,3,DAHF,2/5,TR 01:30 PM - 03:00 PM
CSE103,3,DAHF,2/5,R 04:50 PM - 07:50 PM
CSE103,4,DAHF,2/5,M 01:30 PM - 04:30 PM
CSE103,4,DAHF,2/5,SR 11:50 AM - 01:20 PM
CSE103,5,DHMAI,0/5,MW 03:10 PM - 04:40 PM
