Course,Section,Faculty,Capacity,Timing
CSE101,1,MAR,40/40,W 10:10 AM - 11:40 AM
CSE101,1,MAR,40/40,M 10:10 AM - 11:40 AM
CSE101,2,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,2,TBA,0/0,T 08:30 AM - 10:00 AM
CSE101,3,TBA,40/40,T 10:10 AM - 11:40 AM
CSE101,3,TBA,40/40,S 10:10 AM - 11:40 AM
CSE101,4,MSHQ,40/40,T 08:30 AM - 10:00 AM
CSE101,4,MSHQ,40/40,R 08:30 AM - 10:00 AM
CSE101,5,DMZM,40/40,T 03:10 PM - 04:40 PM
CSE101,5,DMZM,40/40,S 03:10 PM - 04:40 PM
CSE101,6,DMZM,40/40,T 04:50 PM - 06:20 PM
CSE101,6,DMZM,40/40,S 04:50 PM - 06:20 PM
CSE101,7,AQUIB,40/40,S 03:10 PM - 04:40 PM
CSE101,7,AQUIB,40/40,T 03:10 PM - 04:40 PM
CSE101,8,AQUIB,40/40,T 04:50 PM - 06:20 PM
CSE101,8,AQUIB,40/40,S 04:50 PM - 06:20 PM
CSE101,9,TZE,40/40,S 03:10 PM - 04:40 PM
CSE101,9,TZE,40/40,T 03:10 PM - 04:40 PM
CSE101,10,TZE,40/40,T 04:50 PM - 06:20 PM
CSE101,10,TZE,40/40,S 04:50 PM - 06:20 PM
CSE101,11,TBA,0/0,M 08:30 AM - 10:00 AM
CSE101,11,TBA,0/0,W 08:30 AM - 10:00 AM
CSE101,12,TBA,0/0,W 10:10 AM - 11:40 AM
CSE101,12,TBA,0/0,M 10:10 AM - 11:40 AM
CSE101,13,MIR,40/40,S 10:10 AM - 11:40 AM
CSE101,13,MIR,40/40,R 10:10 AM - 11:40 AM
CSE101,14,TBA,0/0,W 08:30 AM - 10:00 AM
CSE101,14,TBA,0/0,M 08:30 AM - 10:00 AM
CSE101,15,TBA,0/0,M 10:10 AM - 11:40 AM
CSE101,15,TBA,0/0,W 10:10 AM - 11:40 AM
CSE101,16,AADNAN,41/41,W 03:10 PM - 04:40 PM
CSE101,16,AADNAN,41/41,M 03:10 PM - 04:40 PM
CSE101,17,TBA,3/40,M 03:10 PM - 04:40 PM
CSE101,17,TBA,3/40,W 03:10 PM - 04:40 PM
CSE101,18,TBA,0/0,S 04:50 PM - 06:20 PM
CSE101,18,TBA,0/0,R 04:50 PM - 06:20 PM
CSE101,19,TBA,0/0,R 08:30 AM - 10:00 AM
CSE101,19,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,20,TBA,0/0,S 04:50 PM - 06:20 PM
CSE101,20,TBA,0/0,R 04:50 PM - 06:20 PM
CSE101,21,TBA,0/0,R 08:30 AM - 10:00 AM
CSE101,21,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,22,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,22,TBA,0/0,R 08:30 AM - 10:00 AM
CSE101,24,TBA,0/0,S 08:30 AM - 10:00 AM
CSE101,24,TBA,0/0,R 08:30 AM - 10:00 AM
CSE102,1,KMSK,34/35,W 04:50 PM - 06:20 PM
CSE102,1,KMSK,34/35,M 04:50 PM - 06:20 PM
CSE102,2,MSHQ,33/35,T 10:10 AM - 11:40 AM
CSE102,2,MSHQ,33/35,R 10:10 AM - 11:40 AM
CSE103,1,TJ,30/30,MW 10:10 AM - 11:40 AM
CSE103,1,TJ,30/30,T 10:10 AM - 01:10 PM
CSE103,2,TJ,30/30,R 10:10 AM - 01:10 PM
CSE103,2,TJ,30/30,MW 11:50 AM - 01:20 PM
CSE103,3,DAHF,30/30,R 01:30 PM - 03:00 PM
CSE103,3,DAHF,30/30,R 04:50 PM - 07:50 PM
CSE103,3,DAHF,30/30,T 01:30 PM - 03:00 PM
CSE103,4,DAHF,33/33,S 11:50 AM - 01:20 PM
CSE103,4,DAHF,33/33,M 01:30 PM - 04:30 PM
