""
""
"East West University"
"Offered Courses (Spring - 26)    Updated (01/10/2026, 07:06:04 PM) by Sadman-11"
"Generated from https://ewucoursetracker.live/"
"Course","Sec","Faculty","Capacity","Timing","Room No"
"CSE","1011MAR","40/40M 10:10 AM - 11:40 AM","529 (C. Lab-1)"
"CSE","1011MAR","40/40W 10:10 AM - 11:40 AM","432"
"CSE","1012AT","31/40T 08:30 AM - 10:00 AM","431 (Multi Media and Image "
"Processing Lab)"
"CSE","1012AT","31/40S 08:30 AM - 10:00 AM","217"
"CSE","1013AT","38/38S 10:10 AM - 11:40 AMAB","2-202"
"CSE","1013AT","38/38T 10:10 AM - 11:40 AM","215 (General Purpose Programming "
"Lab)"
"CSE","1014MSHQ","36/36R 08:30 AM - 10:00 AM","212"
"CSE","1014MSHQ","36/36T 08:30 AM - 10:00 AM","372 (SEIP Lab)"
"CSE","1015MSHQ","36/36T 10:10 AM - 11:40 AM","227 (Competitive Programming Lab)"
"CSE","1015MSHQ","36/36R 10:10 AM - 11:40 AM","372 (SEIP Lab)"
"CSE","1016DMZM","38/38T 03:10 PM - 04:40 PM","372 (SEIP Lab)"
"CSE","1016DMZM","38/38S 03:10 PM - 04:40 PM","212"
"CSE","1017DMZM","35/35S 04:50 PM - 06:20 PM","212"
"CSE","1017DMZM","35/35T 04:50 PM - 06:20 PM","372 (SEIP Lab)"
"CSE","1018AQUIB","38/38T 03:10 PM - 04:40 PM","227 (Competitive Programming Lab)"
"CSE","1018AQUIB","38/38S 03:10 PM - 04:40 PMAB","2-201"
"CSE","1019AQUIB","36/36S 04:50 PM - 06:20 PMAB","2-201"
"CSE","1019AQUIB","36/36T 04:50 PM - 06:20 PM","215 (General Purpose Programming "
"Lab)"
"CSE","10110TZE","40/40T 03:10 PM - 04:40 PMAB","2-202"
"CSE","10110TZE","40/40S 03:10 PM - 04:40 PM","215 (General Purpose Programming "
"Lab)"
"CSE","10111TZE","36/36S 04:50 PM - 06:20 PM","227 (Competitive Programming Lab)"
"CSE","10111TZE","36/36T 04:50 PM - 06:20 PMAB","2-201"
"CSE","10112DNMH","28/40W 08:30 AM - 10:00 AM","372 (SEIP Lab)"
"CSE","10112DNMH","28/40M 08:30 AM - 10:00 AM","338"
""
"ewucoursetracker.live"
"Course","Sec","Faculty","Capacity","Timing","Room No"
