,,,"East West University
Offered Courses (Fall - 25)",


Course,Section,Faculty,Capacity,Timing
CSE101,1,AT,,0/30,S 08:30 AM - 10:00 AM
CSE101,1,AT,,0/30,T 08:30 AM - 10:00 AM
CSE101,2,AT,,0/30,T 10:10 AM - 11:40 AM
CSE101,2,AT,,0/30,S 10:10 AM - 11:40 AM
CSE101,3,MSHQ,,0/30,T 08:30 AM - 10:00 AM
CSE101,3,MSHQ,,0/30,R 08:30 AM - 10:00 AM
CSE101,4,MSHQ,,0/30,R 10:10 AM - 11:40 AM
CSE101,4,MSHQ,,0/30,T 10:10 AM - 11:40 AM
CSE101,5,DMZM,,0/30,T 03:10 PM - 04:40 PM
CSE101,5,DMZM,,0/30,S 03:10 PM - 04:40 PM
CSE101,6,DMZM,,0/30,T 04:50 PM - 06:20 PM
CSE101,6,DMZM,,0/30,S 04:50 PM - 06:20 PM
CSE101,7,AQUIB,,0/30,S 03:10 PM - 04:40 PM
CSE101,7,AQUIB,,0/30,T 03:10 PM - 04:40 PM
CSE101,8,AQUIB,,0/30,S 04:50 PM - 06:20 PM
CSE101,8,AQUIB,,0/30,T 04:50 PM - 06:20 PM
CSE101,9,TZE,,0/30,S 03:10 PM - 04:40 PM
CSE101,9,TZE,,0/30,T 03:10 PM - 04:40 PM
CSE101,10,TZE,,0/30,T 04:50 PM - 06:20 PM
CSE101,10,TZE,,0/30,S 04:50 PM - 06:20 PM
CSE101,11,DNMH,,0/30,W 08:30 AM - 10:00 AM

CSE101,11,DNMH,0/30,M 08:30 AM - 10:00 AM
CSE101,12,DNMH,0/30,W 10:10 AM - 11:40 AM
CSE101,12,DNMH,0/30,M 10:10 AM - 11:40 AM
CSE101,13,RUTBA,0/30,S 03:10 PM - 04:40 PM
CSE101,13,RUTBA,0/30,T 03:10 PM - 04:40 PM
CSE101,14,RUTBA,0/30,S 04:50 PM - 06:20 PM
CSE101,14,RUTBA,0/30,T 04:50 PM - 06:20 PM
CSE101,15,REZVI,0/30,M 01:30 PM - 03:00 PM
CSE101,15,REZVI,0/30,W 01:30 PM - 03:00 PM
CSE101,16,REZVI,0/30,W 03:10 PM - 04:40 PM
CSE101,16,REZVI,0/30,M 03:10 PM - 04:40 PM
CSE101,17,NRST,0/30,S 08:30 AM - 10:00 AM
CSE101,17,NRST,0/30,T 08:30 AM - 10:00 AM
CSE101,18,NRST,0/30,R 10:10 AM - 11:40 AM
CSE101,18,NRST,0/30,S 10:10 AM - 11:40 AM
CSE101,19,RRD,0/30,S 08:30 AM - 10:00 AM
CSE101,19,RRD,0/30,T 08:00 AM - 10:00 AM
CSE101,20,RRD,0/30,T 10:10 AM - 11:40 AM
CSE101,20,RRD,0/30,S 10:10 AM - 11:40 AM
CSE101,21,TBA,0/30,S 08:30 AM - 10:00 AM
CSE101,21,TBA,0/30,R 08:30 AM - 10:00 AM
CSE101,22,TBA,0/30,MW 08:30 AM - 10:00 AM
CSE101,23,TBA,0/30,S 10:10 AM - 11:40 AM
CSE101,23,TBA,0/30,R 10:10 AM - 11:40 AM

CSE101,24,TBA,0/30,R 10:10 AM - 11:40 AM
CSE101,24,TBA,0/30,T 10:10 AM - 11:40 AM
